TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,15,5,1220,6958,0,92,2,X,09,2021
1,0101,19,5,1220,4962,0,97,2,X,09,2021
1,0101,20,5,1220,20340,0,398,1,X,09,2021
1,0101,25,5,1220,6742,0,147,2,X,09,2021
1,0101,28,5,1220,4146,0,66,2,X,09,2021
1,0101,29,5,1220,47299,0,914,1,X,09,2021
1,0101,32,5,1220,66090,0,1295,2,X,09,2021
1,0101,34,5,1220,5398,0,105,1,X,09,2021
1,0101,34,5,1220,2824,0,55,2,X,09,2021
1,0101,38,5,1220,3055,0,59,2,X,09,2021
1,0101,39,5,1220,450740,0,8884,1,X,09,2021
1,0101,39,5,1220,75345,0,1476,2,X,09,2021
1,0101,39,6,1220,154728,0,3033,1,X,09,2021
1,0101,40,5,1220,22899,0,449,1,X,09,2021
1,0101,48,5,1220,48670,0,951,1,X,09,2021
1,0101,61,5,1220,32021,0,618,2,X,09,2021
1,0101,62,5,1220,15409,0,312,2,X,09,2021
1,0101,63,5,1220,16787,0,328,1,X,09,2021
1,0101,69,5,1220,5576,0,109,2,X,09,2021
1,0101,70,5,1220,21784,0,426,1,X,09,2021
1,0101,72,5,1220,3586,0,70,1,X,09,2021
1,0101,72,6,1220,215496,0,7054,1,X,09,2021
1,0101,73,5,1220,119808,0,2426,1,X,09,2021
1,0101,76,5,1220,5520,0,107,2,X,09,2021
1,0101,83,5,1220,5880,0,116,1,X,09,2021
1,0101,84,5,1220,630467,0,11269,1,X,09,2021
1,0101,84,5,1220,13433,0,270,2,X,09,2021
1,0101,85,5,1220,123644,0,2413,1,X,09,2021
1,0101,86,5,1220,3246,0,63,2,X,09,2021
1,0101,87,5,1220,5307,0,235,1,X,09,2021
1,0101,89,8,1220,96032,0,950,1,X,09,2021
1,0101,90,5,1220,8067,0,157,1,X,09,2021
1,0101,90,6,1220,374945,0,7322,2,X,09,2021
1,0101,94,5,1220,14914,0,302,2,X,09,2021
1,0101,95,5,1220,29697,0,581,1,X,09,2021
1,0101,95,5,1220,26792,0,542,2,X,09,2021
1,0102,72,5,1220,23874,0,468,1,X,09,2021
1,0102,72,6,1220,370140,0,5511,1,X,09,2021
1,0102,74,6,1220,40855,0,160,1,X,09,2021
1,0103,31,5,1220,7267,0,142,2,X,09,2021
1,0103,32,5,1220,3314,0,116,1,X,09,2021
1,0103,40,5,1220,5358,0,117,1,X,09,2021
1,0103,73,5,1220,10309,0,359,1,X,09,2021
1,0103,84,5,1220,3197,0,118,1,X,09,2021
1,0103,85,5,1220,17376,0,340,1,X,09,2021
1,0103,94,5,1220,19483,0,126,2,X,09,2021
1,0104,01,5,1220,175190,0,3357,1,X,09,2021
1,0104,08,5,1220,171042,0,7093,1,X,09,2021
1,0104,19,5,1220,110718,0,6829,1,X,09,2021
1,0104,21,5,1220,83687,0,234,1,X,09,2021
1,0104,23,5,1220,6726,0,195,1,X,09,2021
1,0104,25,5,1220,23595,0,2226,1,X,09,2021
1,0104,25,6,1220,69168,0,354,1,X,09,2021
1,0104,27,5,1220,7572,0,148,1,X,09,2021
1,0104,28,5,1220,21919,0,3279,1,X,09,2021
1,0104,31,5,1220,44293,0,5560,1,X,09,2021
1,0104,32,5,1220,4139,0,145,2,X,09,2021
1,0104,34,5,1220,2843,0,94,1,X,09,2021
1,0104,35,5,1220,3875,0,192,1,X,09,2021
1,0104,38,5,1220,267975,0,5240,1,X,09,2021
1,0104,39,5,1220,22331,0,2222,1,X,09,2021
1,0104,39,5,1220,21169,0,622,2,X,09,2021
1,0104,44,5,1220,10116389,0,408563,1,X,09,2021
1,0104,44,5,1220,7371,0,144,2,X,09,2021
1,0104,47,5,1220,277149,0,14616,1,X,09,2021
1,0104,47,6,1220,33941,0,0,1,X,09,2021
1,0104,48,5,1220,6131284,0,628648,1,X,09,2021
1,0104,49,5,1220,120204,0,3497,1,X,09,2021
1,0104,54,5,1220,781217,0,11035,1,X,09,2021
1,0104,55,5,1220,501180,0,8142,1,X,09,2021
1,0104,55,5,1220,15572,0,213,2,X,09,2021
1,0104,56,5,1220,3748,0,86,1,X,09,2021
1,0104,68,5,1220,280959,0,13365,1,X,09,2021
1,0104,69,5,1220,11363,0,329,1,X,09,2021
1,0104,72,5,1220,72700,0,1498,1,X,09,2021
1,0104,72,6,1220,108866,0,2209,1,X,09,2021
1,0104,74,5,1220,3652,0,81,2,X,09,2021
1,0104,76,5,1220,104591,0,8353,1,X,09,2021
1,0104,82,5,1220,3412,0,67,2,X,09,2021
1,0104,84,5,1220,92157,0,1156,1,X,09,2021
1,0104,84,5,1220,830991,0,24139,2,X,09,2021
1,0104,85,5,1220,93391,0,3206,1,X,09,2021
1,0104,85,5,1220,3477,0,101,2,X,09,2021
1,0104,87,5,1220,1023335,0,27777,1,X,09,2021
1,0104,87,5,1220,26191,0,624,2,X,09,2021
1,0104,89,5,1220,88128,0,1299,1,X,09,2021
1,0104,94,5,1220,5784,0,592,1,X,09,2021
1,0104,94,5,1220,3332,0,116,2,X,09,2021
1,0104,95,5,1220,4825,0,140,1,X,09,2021
1,0104,95,5,1220,2876,0,104,2,X,09,2021
1,0104,98,5,1220,80672,0,1752,1,X,09,2021
1,0105,03,5,1220,51978,0,5575,1,X,09,2021
1,0105,23,6,1220,106481,0,5063,1,X,09,2021
1,0105,25,6,1220,1312580,0,81343,2,X,09,2021
1,0105,28,6,1220,62085,0,6668,1,X,09,2021
1,0105,29,6,1220,22799,0,2759,1,X,09,2021
1,0105,44,5,1220,18462,0,360,1,X,09,2021
1,0105,44,6,1220,665575,0,79260,1,X,09,2021
1,0105,47,6,1220,253545,0,390,1,X,09,2021
1,0105,58,5,1220,3958,0,78,1,X,09,2021
1,0105,72,6,1220,123879,0,5364,1,X,09,2021
1,0105,83,5,1220,8679,0,78,1,X,09,2021
1,0105,84,5,1220,74642,0,641,1,X,09,2021
1,0105,86,6,1220,1347533,0,234,1,X,09,2021
1,0105,90,5,1220,21725,0,554,1,X,09,2021
1,0106,01,5,1220,21952,0,466,1,X,09,2021
1,0106,03,5,1220,13722675,0,238063,1,X,09,2021
1,0106,03,5,1220,852665,0,14230,2,X,09,2021
1,0106,04,5,1220,9998,0,494,1,X,09,2021
1,0106,05,5,1220,499022,0,39493,1,X,09,2021
1,0106,06,5,1220,21944,0,2307,1,X,09,2021
1,0106,06,5,1220,11798,0,11,2,X,09,2021
1,0106,07,5,1220,199212,0,13652,1,X,09,2021
1,0106,08,5,1220,1170015,0,22895,2,X,09,2021
1,0106,09,5,1220,3635,0,58,1,X,09,2021
1,0106,09,5,1220,2703,0,52,2,X,09,2021
1,0106,10,5,1220,31207,0,607,1,X,09,2021
1,0106,11,5,1220,28878,0,4347,1,X,09,2021
1,0106,12,5,1220,27006,0,3318,1,X,09,2021
1,0106,12,5,1220,71457,0,64,2,X,09,2021
1,0106,15,5,1220,543853,0,11529,1,X,09,2021
1,0106,16,5,1220,999665,0,12107,1,X,09,2021
1,0106,16,5,1220,426168,0,5677,2,X,09,2021
1,0106,18,5,1220,78591,0,535,1,X,09,2021
1,0106,19,5,1220,1128078,0,118466,1,X,09,2021
1,0106,20,5,1220,361485,0,39045,1,X,09,2021
1,0106,20,5,1220,85046,0,382,2,X,09,2021
1,0106,21,5,1220,35171,0,3574,1,X,09,2021
1,0106,21,5,1220,25203,0,3421,2,X,09,2021
1,0106,22,5,1220,653575,0,47890,1,X,09,2021
1,0106,22,5,1220,161836,0,11583,2,X,09,2021
1,0106,23,5,1220,66220,0,1167,1,X,09,2021
1,0106,25,5,1220,125502,0,5122,1,X,09,2021
1,0106,27,5,1220,789795,0,10946,1,X,09,2021
1,0106,28,5,1220,420083,0,45855,1,X,09,2021
1,0106,29,5,1220,84594,0,302,1,X,09,2021
1,0106,30,5,1220,2935,0,58,2,X,09,2021
1,0106,31,5,1220,89747,0,11267,1,X,09,2021
1,0106,32,5,1220,373504,0,12516,1,X,09,2021
1,0106,32,5,1220,8047,0,125,2,X,09,2021
1,0106,33,5,1220,332604,0,7289,1,X,09,2021
1,0106,33,5,1220,204143,0,4038,2,X,09,2021
1,0106,34,5,1220,197902,0,5384,1,X,09,2021
1,0106,35,5,1220,69077,0,78,1,X,09,2021
1,0106,38,5,1220,805460,0,32295,1,X,09,2021
1,0106,38,5,1220,64598,0,3551,2,X,09,2021
1,0106,39,5,1220,4052138,0,163712,1,X,09,2021
1,0106,39,5,1220,444712,0,31785,2,X,09,2021
1,0106,40,5,1220,6007826,0,351003,1,X,09,2021
1,0106,40,5,1220,84412,0,2610,2,X,09,2021
1,0106,44,5,1220,1405475,0,78173,1,X,09,2021
1,0106,44,5,1220,56710,0,3676,2,X,09,2021
1,0106,46,5,1220,3157,0,134,2,X,09,2021
1,0106,47,5,1220,92348,0,2288,1,X,09,2021
1,0106,48,5,1220,1404165,0,71348,1,X,09,2021
