TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,7243,0,142,2,X,05,2022
1,0101,29,5,1220,32891,0,508,1,X,05,2022
1,0101,38,5,1220,14014,0,217,1,X,05,2022
1,0101,39,5,1220,1978300,0,34630,1,X,05,2022
1,0101,39,5,1220,125977,0,2274,2,X,05,2022
1,0101,44,5,1220,43096,0,3113,1,X,05,2022
1,0101,49,5,1220,4986,0,97,1,X,05,2022
1,0101,54,5,1220,11508,0,88,1,X,05,2022
1,0101,55,5,1220,105933,0,689,1,X,05,2022
1,0101,55,5,1220,256460,0,2106,2,X,05,2022
1,0101,56,5,1220,2798938,0,36964,1,X,05,2022
1,0101,56,5,1220,3528,0,34,2,X,05,2022
1,0101,62,5,1220,429037,0,8437,2,X,05,2022
1,0101,64,5,1220,40194,0,755,2,X,05,2022
1,0101,68,6,1220,76851,0,760,1,X,05,2022
1,0101,72,6,1220,293736,0,6564,1,X,05,2022
1,0101,73,5,1220,9420,0,185,1,X,05,2022
1,0101,73,6,1220,39289,0,1399,1,X,05,2022
1,0101,76,5,1220,48256,0,1655,1,X,05,2022
1,0101,84,5,1220,62634,0,1228,1,X,05,2022
1,0101,85,5,1220,40263,0,789,1,X,05,2022
1,0101,89,8,1220,349571,0,5134,1,X,05,2022
1,0101,90,5,1220,80099,0,1570,1,X,05,2022
1,0102,72,6,1220,263596,0,2562,1,X,05,2022
1,0102,76,5,1220,2564,0,50,1,X,05,2022
1,0102,98,8,1220,76334,0,154,1,X,05,2022
1,0103,03,5,1220,128328,0,2721,1,X,05,2022
1,0103,05,5,1220,17810,0,606,1,X,05,2022
1,0103,39,5,1220,6847,0,233,1,X,05,2022
1,0103,69,5,1220,2797,0,276,1,X,05,2022
1,0103,85,5,1220,17140,0,343,2,X,05,2022
1,0103,94,5,1220,8447,0,328,1,X,05,2022
1,0104,01,5,1220,104236,0,1965,1,X,05,2022
1,0104,07,5,1220,130098,0,5007,1,X,05,2022
1,0104,17,5,1220,2423505,0,128647,1,X,05,2022
1,0104,25,5,1220,37653,0,738,1,X,05,2022
1,0104,28,5,1220,28207,0,3499,1,X,05,2022
1,0104,28,6,1220,30773,0,4602,1,X,05,2022
1,0104,31,5,1220,21305,0,2675,1,X,05,2022
1,0104,32,5,1220,3239,0,113,2,X,05,2022
1,0104,38,5,1220,48200,0,2004,1,X,05,2022
1,0104,39,5,1220,44559,0,1488,1,X,05,2022
1,0104,39,5,1220,38617,0,1341,2,X,05,2022
1,0104,44,5,1220,4714535,0,160675,1,X,05,2022
1,0104,44,5,1220,3045,0,57,2,X,05,2022
1,0104,44,8,1220,2923,0,370,1,X,05,2022
1,0104,47,5,1220,257951,0,14413,1,X,05,2022
1,0104,48,5,1220,10736506,0,1041167,1,X,05,2022
1,0104,48,6,1220,549087,0,15726,1,X,05,2022
1,0104,49,5,1220,74841,0,2177,1,X,05,2022
1,0104,54,5,1220,1033948,0,14495,1,X,05,2022
1,0104,55,5,1220,549244,0,7759,1,X,05,2022
1,0104,56,5,1220,146520,0,1949,1,X,05,2022
1,0104,56,5,1220,11736,0,166,2,X,05,2022
1,0104,58,5,1220,3148,0,41,1,X,05,2022
1,0104,59,5,1220,6974,0,135,1,X,05,2022
1,0104,64,5,1220,14405,0,282,1,X,05,2022
1,0104,68,5,1220,538634,0,26226,1,X,05,2022
1,0104,69,5,1220,20491,0,595,1,X,05,2022
1,0104,72,5,1220,20990,0,2174,1,X,05,2022
1,0104,74,5,1220,33375,0,310,1,X,05,2022
1,0104,76,5,1220,89855,0,2286,1,X,05,2022
1,0104,82,5,1220,2661,0,80,1,X,05,2022
