TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,07,5,1220,6681,0,257,1,X,09,2020
1,0101,13,5,1220,8707,0,170,1,X,09,2020
1,0101,25,6,1220,6453,0,126,1,X,09,2020
1,0101,29,5,1220,38308,0,633,1,X,09,2020
1,0101,32,5,1220,2726,0,53,1,X,09,2020
1,0101,33,5,1220,47579,0,931,1,X,09,2020
1,0101,34,5,1220,3712,0,72,1,X,09,2020
1,0101,34,5,1220,4250,0,83,2,X,09,2020
1,0101,35,5,1220,16295,0,334,1,X,09,2020
1,0101,39,5,1220,700783,0,10367,1,X,09,2020
1,0101,39,5,1220,22657,0,442,2,X,09,2020
1,0101,40,5,1220,65580,0,1284,1,X,09,2020
1,0101,48,5,1220,14425,0,281,1,X,09,2020
1,0101,49,5,1220,4975,0,99,2,X,09,2020
1,0101,57,5,1220,4376,0,86,2,X,09,2020
1,0101,62,5,1220,29330,0,535,2,X,09,2020
1,0101,63,5,1220,8526,0,167,1,X,09,2020
1,0101,63,5,1220,35392,0,732,2,X,09,2020
1,0101,63,8,1220,4474,0,87,1,X,09,2020
1,0101,72,5,1220,341908,0,6696,1,X,09,2020
1,0101,72,5,1220,85690,0,1679,2,X,09,2020
1,0101,72,6,1220,73856,0,4642,1,X,09,2020
1,0101,73,5,1220,3632,0,71,1,X,09,2020
1,0101,76,5,1220,6443,0,122,1,X,09,2020
1,0101,81,5,1220,2657,0,50,1,X,09,2020
1,0101,83,5,1220,26900,0,523,1,X,09,2020
1,0101,84,5,1220,49567,0,906,1,X,09,2020
1,0101,84,5,1220,550139,0,10161,2,X,09,2020
1,0101,85,5,1220,24872,0,487,1,X,09,2020
1,0101,85,5,1220,19731,0,321,2,X,09,2020
1,0101,87,5,1220,6862,0,102,1,X,09,2020
1,0101,87,5,1220,30308,0,537,2,X,09,2020
1,0101,89,8,1220,29832,0,585,2,X,09,2020
1,0101,90,5,1220,3540,0,68,1,X,09,2020
1,0101,95,5,1220,13997,0,274,1,X,09,2020
1,0101,95,5,1220,345053,0,7460,2,X,09,2020
1,0101,96,5,1220,2804,0,50,1,X,09,2020
1,0102,72,6,1220,62893,0,2262,1,X,09,2020
1,0103,32,5,1220,64974,0,3353,1,X,09,2020
1,0103,44,5,1220,4609,0,114,1,X,09,2020
1,0103,73,5,1220,25484,0,1033,1,X,09,2020
1,0103,85,5,1220,7874,0,154,1,X,09,2020
1,0103,94,5,1220,12748,0,250,1,X,09,2020
1,0103,95,5,1220,5303,0,104,1,X,09,2020
1,0103,95,5,1220,6762,0,70,2,X,09,2020
1,0104,01,5,1220,3035,0,60,1,X,09,2020
1,0104,08,5,1220,40549,0,795,1,X,09,2020
1,0104,08,5,1220,223549,0,4380,2,X,09,2020
1,0104,10,5,1220,10333,0,202,1,X,09,2020
1,0104,17,5,1220,260098,0,8696,1,X,09,2020
1,0104,23,5,1220,5210,0,152,1,X,09,2020
1,0104,25,5,1220,24136,0,1605,1,X,09,2020
1,0104,29,5,1220,4247,0,31,2,X,09,2020
1,0104,31,5,1220,16241,0,2039,1,X,09,2020
1,0104,32,5,1220,34038,0,349,2,X,09,2020
1,0104,37,5,1220,28566,0,511,1,X,09,2020
1,0104,39,5,1220,131325,0,1810,1,X,09,2020
1,0104,40,5,1220,4205,0,350,1,X,09,2020
1,0104,40,5,1220,13568,0,377,2,X,09,2020
