TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,74343,0,1457,1,X,04,2022
1,0101,22,5,1220,14866,0,974,1,X,04,2022
1,0101,29,5,1220,4366,0,85,2,X,04,2022
1,0101,32,5,1220,3527,0,68,1,X,04,2022
1,0101,34,5,1220,11284,0,220,2,X,04,2022
1,0101,37,5,1220,560369,0,11031,1,X,04,2022
1,0101,38,5,1220,12129,0,298,1,X,04,2022
1,0101,38,5,1220,3007,0,58,2,X,04,2022
1,0101,39,5,1220,2538393,0,49736,1,X,04,2022
1,0101,39,5,1220,145936,0,2310,2,X,04,2022
1,0101,40,5,1220,93136,0,1825,1,X,04,2022
1,0101,48,5,1220,4385,0,86,1,X,04,2022
1,0101,54,5,1220,144452,0,1226,1,X,04,2022
1,0101,55,5,1220,144810,0,1933,1,X,04,2022
1,0101,55,5,1220,263595,0,3536,2,X,04,2022
1,0101,56,5,1220,5029801,0,80920,1,X,04,2022
1,0101,60,5,1220,31441,0,616,1,X,04,2022
1,0101,62,5,1220,760672,0,14682,2,X,04,2022
1,0101,64,5,1220,53620,0,988,2,X,04,2022
1,0101,65,5,1220,48734,0,840,2,X,04,2022
1,0101,70,5,1220,4692,0,90,2,X,04,2022
1,0101,72,5,1220,24999,0,489,1,X,04,2022
1,0101,72,6,1220,42880,0,752,1,X,04,2022
1,0101,73,5,1220,51880,0,1081,1,X,04,2022
1,0101,84,5,1220,27988,0,494,1,X,04,2022
1,0101,84,5,1220,47354,0,900,2,X,04,2022
1,0101,85,5,1220,27468,0,538,1,X,04,2022
1,0101,85,5,1220,24717,0,395,2,X,04,2022
1,0101,89,8,1220,77209,0,764,1,X,04,2022
1,0101,90,5,1220,68677,0,1347,1,X,04,2022
1,0101,94,5,1220,12014,0,236,1,X,04,2022
1,0101,95,5,1220,14831,0,290,1,X,04,2022
1,0102,72,6,1220,220275,0,2881,1,X,04,2022
1,0102,76,6,1220,3998,0,76,1,X,04,2022
1,0102,79,6,1220,21360,0,316,1,X,04,2022
1,0102,84,5,1220,34219,0,670,1,X,04,2022
1,0102,98,8,1220,135512,0,79,1,X,04,2022
1,0103,05,5,1220,5844,0,198,1,X,04,2022
1,0103,39,5,1220,5544,0,108,2,X,04,2022
1,0103,44,5,1220,2746,0,68,1,X,04,2022
1,0103,48,5,1220,21514,0,422,1,X,04,2022
1,0103,73,5,1220,19898,0,807,1,X,04,2022
1,0103,84,5,1220,2877,0,85,1,X,04,2022
1,0103,85,5,1220,51093,0,1119,1,X,04,2022
1,0104,01,5,1220,123459,0,2349,1,X,04,2022
1,0104,08,5,1220,108413,0,3554,1,X,04,2022
1,0104,17,5,1220,523961,0,26038,1,X,04,2022
1,0104,19,5,1220,99956,0,3754,1,X,04,2022
1,0104,21,5,1220,75526,0,79,1,X,04,2022
1,0104,28,5,1220,28329,0,3563,1,X,04,2022
1,0104,31,5,1220,77514,0,2969,1,X,04,2022
1,0104,32,5,1220,4493,0,130,1,X,04,2022
1,0104,32,5,1220,10588,0,370,2,X,04,2022
1,0104,34,5,1220,34657,0,306,1,X,04,2022
1,0104,38,5,1220,43445,0,1795,1,X,04,2022
1,0104,39,5,1220,234343,0,9362,1,X,04,2022
1,0104,39,5,1220,9908,0,338,2,X,04,2022
1,0104,40,5,1220,3549,0,92,1,X,04,2022
1,0104,44,5,1220,3798901,0,132894,1,X,04,2022
1,0104,44,5,1220,16720,0,305,2,X,04,2022
1,0104,47,5,1220,159197,0,12500,1,X,04,2022
1,0104,48,5,1220,9572551,0,984402,1,X,04,2022
1,0104,48,6,1220,426449,0,3555,1,X,04,2022
1,0104,49,5,1220,178963,0,5192,1,X,04,2022
1,0104,54,5,1220,686448,0,11159,1,X,04,2022
1,0104,55,5,1220,550486,0,7817,1,X,04,2022
1,0104,55,5,1220,10422,0,204,2,X,04,2022
1,0104,56,5,1220,181042,0,1924,1,X,04,2022
1,0104,56,5,1220,8154,0,117,2,X,04,2022
1,0104,58,5,1220,2692,0,36,1,X,04,2022
1,0104,58,5,1220,6621,0,198,2,X,04,2022
1,0104,68,5,1220,379703,0,18058,1,X,04,2022
1,0104,68,6,1220,17337,0,825,1,X,04,2022
1,0104,69,5,1220,19773,0,574,1,X,04,2022
1,0104,72,5,1220,11651,0,60,1,X,04,2022
1,0104,73,5,1220,9978,0,241,2,X,04,2022
1,0104,74,5,1220,218002,0,1128,1,X,04,2022
1,0104,76,5,1220,445207,0,20031,1,X,04,2022
1,0104,82,5,1220,4822,0,93,2,X,04,2022
1,0104,83,5,1220,8303,0,241,1,X,04,2022
1,0104,83,5,1220,2601,0,66,2,X,04,2022
1,0104,84,5,1220,217577,0,4251,1,X,04,2022
1,0104,84,5,1220,579082,0,16394,2,X,04,2022
1,0104,85,5,1220,232086,0,3906,1,X,04,2022
1,0104,85,5,1220,14010,0,371,2,X,04,2022
1,0104,87,5,1220,1389127,0,36182,1,X,04,2022
1,0104,87,5,1220,80150,0,1498,2,X,04,2022
1,0104,89,5,1220,283984,0,4273,1,X,04,2022
1,0104,90,5,1220,3553,0,4,1,X,04,2022
1,0104,94,5,1220,54552,0,2493,1,X,04,2022
1,0104,95,5,1220,22664,0,717,2,X,04,2022
1,0105,23,6,1220,13435,0,639,1,X,04,2022
1,0105,25,6,1220,942493,0,74449,2,X,04,2022
1,0105,44,5,1220,10956,0,214,1,X,04,2022
1,0105,44,6,1220,1293167,0,162385,1,X,04,2022
1,0105,48,5,1220,3459,0,111,1,X,04,2022
1,0105,48,6,1220,257185,0,474,1,X,04,2022
1,0105,54,5,1220,50209,0,1329,1,X,04,2022
1,0105,59,5,1220,26791,0,518,1,X,04,2022
1,0105,72,6,1220,23571,0,791,1,X,04,2022
1,0105,84,5,1220,4642,0,109,2,X,04,2022
1,0105,95,5,1220,16180,0,1760,1,X,04,2022
1,0106,01,5,1220,39952,0,535,1,X,04,2022
1,0106,01,5,1220,10650,0,791,2,X,04,2022
1,0106,03,5,1220,150734,0,2192,1,X,04,2022
1,0106,03,5,1220,336365,0,12789,2,X,04,2022
1,0106,04,5,1220,184883,0,2951,1,X,04,2022
1,0106,05,5,1220,867359,0,71716,1,X,04,2022
1,0106,06,5,1220,257868,0,10924,1,X,04,2022
1,0106,06,5,1220,109839,0,260,2,X,04,2022
1,0106,07,5,1220,864080,0,49243,1,X,04,2022
1,0106,07,5,1220,28634,0,2771,2,X,04,2022
1,0106,08,5,1220,568087,0,15768,1,X,04,2022
1,0106,08,5,1220,1369195,0,26796,2,X,04,2022
1,0106,09,5,1220,5891,0,93,1,X,04,2022
1,0106,10,5,1220,18216,0,399,1,X,04,2022
1,0106,11,5,1220,37892,0,4747,1,X,04,2022
1,0106,11,5,1220,31858,0,2767,2,X,04,2022
1,0106,12,5,1220,183052,0,24941,1,X,04,2022
1,0106,12,5,1220,6214,0,6,2,X,04,2022
1,0106,13,5,1220,5774,0,316,1,X,04,2022
1,0106,14,5,1220,35892,0,1932,1,X,04,2022
1,0106,15,5,1220,305035,0,6636,1,X,04,2022
1,0106,15,5,1220,19374,0,795,2,X,04,2022
1,0106,16,5,1220,278609,0,14118,1,X,04,2022
1,0106,16,5,1220,52383,0,89,2,X,04,2022
1,0106,17,5,1220,49743,0,3868,1,X,04,2022
1,0106,17,5,1220,6399,0,597,2,X,04,2022
1,0106,18,5,1220,365822,0,4063,1,X,04,2022
1,0106,19,5,1220,1660732,0,155287,1,X,04,2022
1,0106,19,5,1220,44225,0,98,2,X,04,2022
1,0106,20,5,1220,654205,0,48622,1,X,04,2022
1,0106,20,5,1220,156656,0,6652,2,X,04,2022
1,0106,21,5,1220,137914,0,8104,1,X,04,2022
1,0106,22,5,1220,173449,0,6481,1,X,04,2022
1,0106,22,5,1220,54686,0,2055,2,X,04,2022
1,0106,23,5,1220,30262,0,94,1,X,04,2022
1,0106,25,5,1220,185596,0,7586,1,X,04,2022
1,0106,25,5,1220,10922,0,1031,2,X,04,2022
1,0106,27,5,1220,939311,0,14432,1,X,04,2022
1,0106,28,5,1220,574074,0,43776,1,X,04,2022
1,0106,28,5,1220,16801,0,2513,2,X,04,2022
1,0106,29,5,1220,135745,0,3230,1,X,04,2022
1,0106,31,5,1220,90960,0,7739,1,X,04,2022
1,0106,31,5,1220,18283,0,23,2,X,04,2022
1,0106,32,5,1220,317442,0,7994,1,X,04,2022
1,0106,33,5,1220,28768,0,316,1,X,04,2022
1,0106,33,5,1220,71859,0,3841,2,X,04,2022
1,0106,34,5,1220,547465,0,19918,1,X,04,2022
1,0106,35,5,1220,87411,0,6875,1,X,04,2022
1,0106,38,5,1220,2160838,0,24394,1,X,04,2022
1,0106,38,5,1220,74714,0,3833,2,X,04,2022
1,0106,39,5,1220,4356486,0,155741,1,X,04,2022
1,0106,39,5,1220,524780,0,17354,2,X,04,2022
1,0106,40,5,1220,6729315,0,411405,1,X,04,2022
1,0106,40,5,1220,230554,0,6969,2,X,04,2022
1,0106,41,5,1220,27497,0,539,1,X,04,2022
1,0106,44,5,1220,1913099,0,86676,1,X,04,2022
1,0106,44,5,1220,97842,0,4443,2,X,04,2022
1,0106,46,5,1220,2874,0,120,1,X,04,2022
1,0106,47,5,1220,262868,0,7476,1,X,04,2022
1,0106,48,5,1220,1765833,0,68546,1,X,04,2022
1,0106,48,5,1220,950183,0,19968,2,X,04,2022
1,0106,52,5,1220,105877,0,8067,1,X,04,2022
1,0106,54,5,1220,221283,0,7261,1,X,04,2022
1,0106,54,5,1220,64646,0,3709,2,X,04,2022
1,0106,56,5,1220,2126468,0,28648,1,X,04,2022
