TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,09,5,1220,2864,0,56,2,X,04,2020
1,0101,19,5,1220,12690,0,241,1,X,04,2020
1,0101,20,5,1220,6699,0,131,1,X,04,2020
1,0101,25,6,1220,25854,0,506,1,X,04,2020
1,0101,28,5,1220,16007,0,313,2,X,04,2020
1,0101,29,5,1220,10412,0,207,2,X,04,2020
1,0101,34,5,1220,16327,0,320,1,X,04,2020
1,0101,38,5,1220,405274,0,5710,1,X,04,2020
1,0101,39,5,1220,167882,0,3286,1,X,04,2020
1,0101,41,5,1220,9164,0,284,1,X,04,2020
1,0101,48,5,1220,68173,0,1237,1,X,04,2020
1,0101,72,5,1220,3695,0,72,1,X,04,2020
1,0101,72,6,1220,98753,0,4330,1,X,04,2020
1,0101,73,5,1220,2859,0,56,1,X,04,2020
1,0101,76,6,1220,36749,0,969,1,X,04,2020
1,0101,83,5,1220,50750,0,995,1,X,04,2020
1,0101,83,5,1220,3168,0,64,2,X,04,2020
1,0101,84,5,1220,281732,0,5086,1,X,04,2020
1,0101,84,5,1220,251134,0,1761,2,X,04,2020
1,0101,85,5,1220,22404,0,439,2,X,04,2020
1,0101,87,5,1220,17067,0,256,2,X,04,2020
1,0101,90,5,1220,15286,0,293,1,X,04,2020
1,0101,94,5,1220,3360,0,68,1,X,04,2020
1,0101,94,5,1220,16913,0,331,2,X,04,2020
1,0101,95,5,1220,191497,0,3277,2,X,04,2020
1,0101,96,5,1220,17315,0,338,2,X,04,2020
1,0102,07,5,1220,10249,0,395,1,X,04,2020
1,0102,72,6,1220,102047,0,2698,1,X,04,2020
1,0102,87,5,1220,47907,0,385,2,X,04,2020
1,0102,98,8,1220,27034,0,71,1,X,04,2020
1,0103,73,5,1220,13224,0,536,1,X,04,2020
1,0103,94,5,1220,10206,0,0,1,X,04,2020
1,0104,10,6,1220,38020,0,744,1,X,04,2020
1,0104,12,5,1220,22438,0,439,2,X,04,2020
1,0104,17,5,1220,1129470,0,52382,1,X,04,2020
1,0104,19,5,1220,59396,0,4433,1,X,04,2020
1,0104,21,5,1220,321936,0,142,1,X,04,2020
1,0104,25,5,1220,2765,0,261,1,X,04,2020
1,0104,29,5,1220,4402,0,71,2,X,04,2020
1,0104,31,5,1220,32078,0,3645,1,X,04,2020
1,0104,38,5,1220,20480,0,740,1,X,04,2020
1,0104,39,5,1220,281685,0,9131,1,X,04,2020
1,0104,40,5,1220,3577,0,66,1,X,04,2020
1,0104,44,5,1220,1072911,0,72753,1,X,04,2020
1,0104,44,6,1220,123165,0,6406,1,X,04,2020
1,0104,47,5,1220,1667744,0,75310,1,X,04,2020
1,0104,47,6,1220,8344,0,85,1,X,04,2020
1,0104,48,5,1220,6180671,0,546620,1,X,04,2020
1,0104,52,5,1220,7504,0,585,1,X,04,2020
1,0104,54,5,1220,578325,0,5722,1,X,04,2020
1,0104,55,5,1220,289216,0,2800,1,X,04,2020
1,0104,56,5,1220,16669,0,237,1,X,04,2020
1,0104,58,5,1220,7882,0,129,1,X,04,2020
1,0104,59,5,1220,14723,0,942,1,X,04,2020
1,0104,68,5,1220,84689,0,4024,1,X,04,2020
1,0104,72,5,1220,7013,0,504,2,X,04,2020
1,0104,73,5,1220,30122,0,1222,1,X,04,2020
1,0104,73,5,1220,9735,0,389,2,X,04,2020
1,0104,82,5,1220,10204,0,307,1,X,04,2020
1,0104,84,5,1220,40108,0,634,1,X,04,2020
1,0104,84,5,1220,17118,0,244,2,X,04,2020
1,0104,85,5,1220,23443,0,284,1,X,04,2020
1,0104,85,5,1220,14506,0,249,2,X,04,2020
1,0104,87,5,1220,434747,0,4753,1,X,04,2020
1,0104,87,5,1220,3009,0,87,2,X,04,2020
1,0104,90,5,1220,5825,0,110,2,X,04,2020
1,0104,93,5,1220,164112,0,7947,1,X,04,2020
1,0104,94,5,1220,8637,0,802,1,X,04,2020
1,0104,94,5,1220,9180,0,181,2,X,04,2020
1,0104,98,5,1220,72764,0,1580,1,X,04,2020
1,0105,11,6,1220,40270,0,789,1,X,04,2020
1,0105,23,6,1220,22444,0,1068,1,X,04,2020
1,0105,25,6,1220,1123928,0,106123,2,X,04,2020
1,0105,32,5,1220,16914,0,331,1,X,04,2020
1,0105,44,5,1220,6568,0,128,1,X,04,2020
1,0105,44,6,1220,1275764,0,124434,1,X,04,2020
1,0105,48,5,1220,5111,0,100,1,X,04,2020
1,0105,84,5,1220,2671,0,52,1,X,04,2020
1,0105,86,6,1220,426609,0,355,1,X,04,2020
1,0106,01,5,1220,10112,0,202,1,X,04,2020
1,0106,03,5,1220,496750,0,18860,1,X,04,2020
1,0106,03,5,1220,905120,0,14066,2,X,04,2020
1,0106,04,5,1220,36945,0,951,1,X,04,2020
1,0106,05,5,1220,387934,0,20761,1,X,04,2020
1,0106,06,5,1220,189411,0,6052,1,X,04,2020
1,0106,06,5,1220,9725,0,141,2,X,04,2020
1,0106,07,5,1220,1381011,0,99452,1,X,04,2020
1,0106,08,5,1220,241723,0,9159,1,X,04,2020
1,0106,08,5,1220,1542977,0,33230,2,X,04,2020
1,0106,09,5,1220,51948,0,3203,2,X,04,2020
1,0106,10,5,1220,4803,0,105,1,X,04,2020
1,0106,11,5,1220,56139,0,7831,1,X,04,2020
1,0106,12,5,1220,424655,0,40444,1,X,04,2020
1,0106,15,5,1220,90859,0,3741,1,X,04,2020
1,0106,15,5,1220,23093,0,2064,2,X,04,2020
1,0106,16,5,1220,280378,0,13250,1,X,04,2020
1,0106,16,5,1220,40592,0,1565,2,X,04,2020
1,0106,17,5,1220,25055,0,729,2,X,04,2020
1,0106,18,5,1220,131433,0,2699,1,X,04,2020
1,0106,19,5,1220,997665,0,110146,1,X,04,2020
1,0106,20,5,1220,284904,0,41028,1,X,04,2020
1,0106,20,5,1220,6733,0,449,2,X,04,2020
1,0106,21,5,1220,319569,0,26611,1,X,04,2020
1,0106,22,5,1220,678025,0,47277,1,X,04,2020
