TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,05,5,1220,27500,0,539,2,X,01,2022
1,0101,12,5,1220,8576,0,167,1,X,01,2022
1,0101,19,5,1220,41359,0,810,1,X,01,2022
1,0101,25,5,1220,14615,0,286,1,X,01,2022
1,0101,29,5,1220,119860,0,2047,1,X,01,2022
1,0101,30,5,1220,26864,0,526,1,X,01,2022
1,0101,34,5,1220,10470,0,274,1,X,01,2022
1,0101,39,5,1220,580956,0,11631,1,X,01,2022
1,0101,39,5,1220,50375,0,986,2,X,01,2022
1,0101,39,6,1220,475499,0,9322,1,X,01,2022
1,0101,40,5,1220,143093,0,2805,1,X,01,2022
1,0101,48,5,1220,23075,0,451,1,X,01,2022
1,0101,54,5,1220,6173,0,121,1,X,01,2022
1,0101,56,6,1220,60948,0,1194,1,X,01,2022
1,0101,61,5,1220,145982,0,2840,2,X,01,2022
1,0101,62,5,1220,27404,0,559,2,X,01,2022
1,0101,63,5,1220,13092,0,256,1,X,01,2022
1,0101,68,5,1220,3974,0,77,1,X,01,2022
1,0101,72,5,1220,5216,0,102,1,X,01,2022
1,0101,76,5,1220,6746,0,54,1,X,01,2022
1,0101,84,5,1220,241284,0,4478,1,X,01,2022
1,0101,84,5,1220,65269,0,1279,2,X,01,2022
1,0101,85,5,1220,5399,0,106,1,X,01,2022
1,0101,85,5,1220,39947,0,782,2,X,01,2022
1,0101,90,5,1220,8888,0,174,1,X,01,2022
1,0101,90,5,1220,8192,0,160,2,X,01,2022
1,0101,96,5,1220,4744,0,89,1,X,01,2022
1,0102,48,5,1220,6146,0,120,1,X,01,2022
1,0102,72,6,1220,48367,0,436,1,X,01,2022
1,0102,74,6,1220,56207,0,196,1,X,01,2022
1,0102,88,5,1220,35653,0,698,1,X,01,2022
1,0103,05,5,1220,11911,0,406,1,X,01,2022
1,0103,14,5,1220,16074,0,865,1,X,01,2022
1,0103,73,5,1220,5248,0,102,1,X,01,2022
1,0103,84,5,1220,7188,0,7,1,X,01,2022
1,0103,94,5,1220,40498,0,227,2,X,01,2022
1,0104,01,5,1220,158168,0,3006,1,X,01,2022
1,0104,17,5,1220,31179,0,1549,1,X,01,2022
1,0104,22,6,1220,394405,0,18778,1,X,01,2022
1,0104,25,5,1220,7922,0,405,1,X,01,2022
1,0104,28,5,1220,9966,0,474,1,X,01,2022
1,0104,31,5,1220,21137,0,2654,1,X,01,2022
1,0104,32,5,1220,6603,0,231,2,X,01,2022
1,0104,38,5,1220,222881,0,5386,1,X,01,2022
1,0104,39,5,1220,46147,0,1472,1,X,01,2022
1,0104,39,5,1220,23701,0,807,2,X,01,2022
1,0104,40,5,1220,5614,0,120,2,X,01,2022
1,0104,41,5,1220,4037,0,79,1,X,01,2022
1,0104,44,5,1220,14873474,0,497242,1,X,01,2022
1,0104,44,5,1220,64031,0,781,2,X,01,2022
1,0104,44,6,1220,12839,0,320,1,X,01,2022
1,0104,47,5,1220,2093764,0,149719,1,X,01,2022
1,0104,48,5,1220,7704134,0,730560,1,X,01,2022
1,0104,48,5,1220,59225,0,7130,2,X,01,2022
1,0104,48,6,1220,213225,0,2110,1,X,01,2022
1,0104,49,5,1220,181401,0,5281,1,X,01,2022
1,0104,49,5,1220,13864,0,403,2,X,01,2022
1,0104,54,5,1220,585941,0,9897,1,X,01,2022
1,0104,55,5,1220,394473,0,6742,1,X,01,2022
1,0104,56,5,1220,25509,0,462,1,X,01,2022
1,0104,58,5,1220,6987,0,180,1,X,01,2022
1,0104,59,5,1220,54909,0,1083,1,X,01,2022
1,0104,68,5,1220,359871,0,17752,1,X,01,2022
1,0104,69,5,1220,13951,0,405,1,X,01,2022
1,0104,72,6,1220,92586,0,1108,1,X,01,2022
1,0104,74,5,1220,247617,0,2095,1,X,01,2022
1,0104,75,5,1220,5223,0,29,1,X,01,2022
1,0104,76,5,1220,157968,0,1730,1,X,01,2022
1,0104,84,5,1220,393041,0,5756,1,X,01,2022
1,0104,84,5,1220,1771496,0,48117,2,X,01,2022
1,0104,85,5,1220,7054,0,154,2,X,01,2022
1,0104,87,5,1220,1046330,0,28540,1,X,01,2022
1,0104,87,5,1220,308641,0,3358,2,X,01,2022
1,0104,89,5,1220,182161,0,2558,1,X,01,2022
1,0104,95,5,1220,9442,0,260,1,X,01,2022
1,0105,23,6,1220,12013,0,572,1,X,01,2022
1,0105,25,6,1220,94186,0,790,1,X,01,2022
1,0105,25,6,1220,948492,0,89553,2,X,01,2022
1,0105,44,5,1220,20568,0,402,1,X,01,2022
1,0105,44,6,1220,679851,0,85923,1,X,01,2022
1,0105,54,5,1220,26875,0,966,1,X,01,2022
1,0105,59,5,1220,24794,0,281,1,X,01,2022
1,0105,72,6,1220,216967,0,4988,1,X,01,2022
1,0105,87,5,1220,6194,0,150,1,X,01,2022
1,0105,96,5,1220,2687,0,97,2,X,01,2022
1,0106,01,5,1220,16192,0,743,1,X,01,2022
1,0106,03,5,1220,838918,0,30950,1,X,01,2022
1,0106,03,5,1220,1866951,0,28195,2,X,01,2022
1,0106,04,5,1220,111361,0,268,1,X,01,2022
1,0106,05,5,1220,44236,0,655,1,X,01,2022
1,0106,06,5,1220,69789,0,2462,1,X,01,2022
1,0106,06,5,1220,1100229,0,1064,2,X,01,2022
1,0106,07,5,1220,683541,0,33774,1,X,01,2022
1,0106,07,5,1220,69919,0,2690,2,X,01,2022
1,0106,08,5,1220,327225,0,7522,1,X,01,2022
1,0106,08,5,1220,1573963,0,30809,2,X,01,2022
1,0106,09,5,1220,2759,0,44,1,X,01,2022
1,0106,09,5,1220,29258,0,481,2,X,01,2022
1,0106,10,5,1220,53384,0,1056,1,X,01,2022
1,0106,11,5,1220,62742,0,7123,1,X,01,2022
1,0106,12,5,1220,3479,0,3,1,X,01,2022
1,0106,12,5,1220,4182,0,3,2,X,01,2022
1,0106,13,5,1220,10810,0,316,1,X,01,2022
1,0106,14,5,1220,16216,0,873,1,X,01,2022
1,0106,15,5,1220,490044,0,11185,1,X,01,2022
1,0106,15,5,1220,43288,0,42,2,X,01,2022
1,0106,16,5,1220,85278,0,4937,1,X,01,2022
1,0106,17,5,1220,41816,0,232,2,X,01,2022
1,0106,19,5,1220,1762372,0,194086,1,X,01,2022
1,0106,20,5,1220,240108,0,29465,1,X,01,2022
1,0106,20,5,1220,60826,0,3623,2,X,01,2022
1,0106,21,5,1220,180388,0,13611,1,X,01,2022
1,0106,21,5,1220,2837,0,80,2,X,01,2022
1,0106,22,5,1220,115648,0,4125,1,X,01,2022
1,0106,22,5,1220,146124,0,3949,2,X,01,2022
1,0106,23,5,1220,70106,0,1374,1,X,01,2022
1,0106,25,5,1220,98146,0,2075,1,X,01,2022
1,0106,27,5,1220,858511,0,18947,1,X,01,2022
1,0106,28,5,1220,679231,0,46604,1,X,01,2022
1,0106,28,5,1220,25128,0,3565,2,X,01,2022
1,0106,29,5,1220,2589,0,21,1,X,01,2022
1,0106,31,5,1220,110326,0,13851,1,X,01,2022
1,0106,32,5,1220,308568,0,11076,1,X,01,2022
1,0106,32,5,1220,13465,0,206,2,X,01,2022
1,0106,33,5,1220,403021,0,6847,1,X,01,2022
1,0106,33,5,1220,257668,0,3616,2,X,01,2022
1,0106,34,5,1220,198282,0,11916,1,X,01,2022
1,0106,34,6,1220,147009,0,1455,1,X,01,2022
1,0106,35,5,1220,35230,0,660,1,X,01,2022
1,0106,38,5,1220,863410,0,21458,1,X,01,2022
1,0106,38,5,1220,265100,0,11343,2,X,01,2022
1,0106,39,5,1220,3903361,0,151709,1,X,01,2022
1,0106,39,5,1220,682330,0,27725,2,X,01,2022
1,0106,40,5,1220,5557824,0,330200,1,X,01,2022
1,0106,40,5,1220,377732,0,7600,2,X,01,2022
1,0106,41,5,1220,58790,0,1152,1,X,01,2022
1,0106,44,5,1220,1589160,0,57148,1,X,01,2022
1,0106,44,5,1220,88917,0,2184,2,X,01,2022
1,0106,47,5,1220,461038,0,39317,1,X,01,2022
1,0106,48,5,1220,1199502,0,38107,1,X,01,2022
1,0106,48,5,1220,6532,0,595,2,X,01,2022
