TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,38,5,1220,2864,0,339,1,X,11,2022
1,0101,72,6,1220,111034,0,3573,1,X,11,2022
1,0101,73,5,1220,3410,0,133,1,X,11,2022
1,0101,73,6,1220,30444,0,1410,1,X,11,2022
1,0101,76,6,1220,9228,0,361,1,X,11,2022
1,0101,83,5,1220,5768,0,730,1,X,11,2022
1,0101,84,5,1220,3902,0,133,1,X,11,2022
1,0101,84,5,1220,37934,0,892,2,X,11,2022
1,0101,85,5,1220,12020,0,148,1,X,11,2022
1,0101,85,5,1220,39679,0,481,2,X,11,2022
1,0101,90,5,1220,33207,0,539,1,X,11,2022
1,0101,90,5,1220,3543,0,133,2,X,11,2022
1,0101,94,5,1220,4763,0,148,1,X,11,2022
1,0101,94,5,1220,6236,0,14,2,X,11,2022
1,0102,40,5,1220,11780,0,224,1,X,11,2022
1,0102,47,5,1220,17678,0,594,1,X,11,2022
1,0102,72,6,1220,243216,0,4083,1,X,11,2022
1,0102,74,5,1220,29655,0,281,1,X,11,2022
1,0102,89,8,1220,140568,0,1391,1,X,11,2022
1,0103,05,5,1220,99138,0,3374,1,X,11,2022
1,0103,40,5,1220,6229,0,135,1,X,11,2022
1,0103,73,5,1220,31247,0,1267,1,X,11,2022
1,0103,84,5,1220,10073,0,300,1,X,11,2022
1,0103,95,5,1220,5067,0,98,1,X,11,2022
1,0104,01,5,1220,154750,0,2925,1,X,11,2022
1,0104,06,5,1220,56689,0,6428,1,X,11,2022
1,0104,17,5,1220,272924,0,8685,1,X,11,2022
1,0104,19,5,1220,62659,0,5681,1,X,11,2022
1,0104,25,5,1220,2804,0,54,1,X,11,2022
1,0104,27,5,1220,66073,0,879,1,X,11,2022
1,0104,28,5,1220,55952,0,6686,1,X,11,2022
1,0104,29,5,1220,4859,0,119,1,X,11,2022
1,0104,31,5,1220,18985,0,2181,1,X,11,2022
1,0104,32,5,1220,6577,0,231,1,X,11,2022
1,0104,32,5,1220,7172,0,251,2,X,11,2022
1,0104,38,5,1220,56496,0,1848,1,X,11,2022
1,0104,39,5,1220,122907,0,3397,1,X,11,2022
1,0104,39,5,1220,16563,0,563,2,X,11,2022
1,0104,40,5,1220,30775,0,973,1,X,11,2022
1,0104,40,5,1220,3244,0,69,2,X,11,2022
1,0104,44,5,1220,9028923,0,273592,1,X,11,2022
1,0104,44,6,1220,138601,0,17522,1,X,11,2022
1,0104,47,5,1220,1496720,0,108870,1,X,11,2022
1,0104,48,5,1220,9126759,0,751802,1,X,11,2022
1,0104,48,5,1220,56594,0,5828,2,X,11,2022
1,0104,48,6,1220,463643,0,16468,1,X,11,2022
1,0104,49,5,1220,36241,0,1124,1,X,11,2022
1,0104,54,5,1220,634587,0,5800,1,X,11,2022
1,0104,54,5,1220,2927,0,28,2,X,11,2022
1,0104,55,5,1220,549216,0,5084,1,X,11,2022
1,0104,55,5,1220,7946,0,78,2,X,11,2022
1,0104,56,5,1220,34882,0,394,1,X,11,2022
1,0104,56,5,1220,7021,0,75,2,X,11,2022
1,0104,64,5,1220,13809,0,270,1,X,11,2022
1,0104,64,5,1220,62816,0,625,2,X,11,2022
