TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,6825,0,133,2,X,11,2021
1,0101,20,5,1220,7254,0,142,1,X,11,2021
1,0101,21,5,1220,4546,0,89,1,X,11,2021
1,0101,25,6,1220,16243,0,318,1,X,11,2021
1,0101,29,5,1220,22832,0,447,2,X,11,2021
1,0101,29,6,1220,120880,0,2370,1,X,11,2021
1,0101,30,5,1220,8823,0,175,1,X,11,2021
1,0101,38,5,1220,14661,0,218,1,X,11,2021
1,0101,39,5,1220,511597,0,10103,1,X,11,2021
1,0101,39,5,1220,139449,0,2057,2,X,11,2021
1,0101,39,6,1220,412125,0,8766,1,X,11,2021
1,0101,40,5,1220,64299,0,1258,1,X,11,2021
1,0101,44,5,1220,4641,0,90,1,X,11,2021
1,0101,48,5,1220,143618,0,2813,1,X,11,2021
1,0101,59,5,1220,4088,0,80,1,X,11,2021
1,0101,63,5,1220,15131,0,296,1,X,11,2021
1,0101,70,5,1220,223495,0,4380,1,X,11,2021
1,0101,70,5,1220,3788,0,74,2,X,11,2021
1,0101,72,5,1220,4540,0,89,1,X,11,2021
1,0101,72,5,1220,11189,0,219,2,X,11,2021
1,0101,72,6,1220,63703,0,2265,1,X,11,2021
1,0101,73,5,1220,656564,0,10644,1,X,11,2021
1,0101,76,5,1220,2574,0,34,1,X,11,2021
1,0101,84,5,1220,45651,0,781,1,X,11,2021
1,0101,84,5,1220,8662,0,169,2,X,11,2021
1,0101,85,5,1220,184413,0,3614,1,X,11,2021
1,0101,85,5,1220,485238,0,397,2,X,11,2021
1,0101,89,5,1220,30759,0,1655,1,X,11,2021
1,0101,90,5,1220,19119,0,374,1,X,11,2021
1,0101,90,6,1220,72097,0,1410,2,X,11,2021
1,0101,94,5,1220,5744,0,112,1,X,11,2021
1,0102,25,5,1220,4334,0,397,1,X,11,2021
1,0102,72,6,1220,86675,0,1033,1,X,11,2021
1,0102,76,5,1220,42756,0,318,1,X,11,2021
1,0102,85,5,1220,11006,0,413,1,X,11,2021
1,0102,94,5,1220,29760,0,84,1,X,11,2021
1,0103,05,5,1220,55357,0,1643,1,X,11,2021
1,0103,18,5,1220,31842,0,159,1,X,11,2021
1,0103,40,5,1220,3448,0,43,1,X,11,2021
1,0103,44,5,1220,3978,0,99,1,X,11,2021
1,0103,73,5,1220,19820,0,804,1,X,11,2021
1,0103,84,5,1220,5981,0,178,1,X,11,2021
1,0104,01,5,1220,211237,0,4046,1,X,11,2021
1,0104,12,5,1220,33282,0,4682,1,X,11,2021
1,0104,17,5,1220,34239,0,198,1,X,11,2021
1,0104,19,5,1220,103959,0,8067,1,X,11,2021
1,0104,20,5,1220,22368,0,438,1,X,11,2021
1,0104,22,6,1220,2154604,0,102589,1,X,11,2021
1,0104,25,5,1220,93337,0,5487,1,X,11,2021
1,0104,29,5,1220,20270,0,397,1,X,11,2021
1,0104,31,5,1220,16267,0,2042,1,X,11,2021
1,0104,32,5,1220,3181,0,111,2,X,11,2021
1,0104,33,5,1220,68608,0,2281,1,X,11,2021
1,0104,35,5,1220,3603,0,179,2,X,11,2021
1,0104,38,5,1220,143844,0,3821,1,X,11,2021
1,0104,39,5,1220,7788,0,656,1,X,11,2021
1,0104,39,5,1220,23574,0,803,2,X,11,2021
1,0104,40,5,1220,14404,0,958,1,X,11,2021
1,0104,40,5,1220,2765,0,59,2,X,11,2021
1,0104,44,5,1220,9665366,0,340892,1,X,11,2021
1,0104,44,5,1220,7809,0,152,2,X,11,2021
1,0104,44,6,1220,42952,0,787,1,X,11,2021
1,0104,46,5,1220,15421,0,599,1,X,11,2021
1,0104,47,5,1220,5100097,0,416750,1,X,11,2021
1,0104,48,5,1220,7877495,0,747110,1,X,11,2021
1,0104,48,6,1220,168970,0,2405,1,X,11,2021
1,0104,49,5,1220,105425,0,1872,1,X,11,2021
1,0104,54,5,1220,658307,0,9811,1,X,11,2021
