TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,16,5,1220,59905,0,1172,1,X,04,2021
1,0101,19,5,1220,34107,0,652,1,X,04,2021
1,0101,19,5,1220,11193,0,216,2,X,04,2021
1,0101,20,5,1220,96351,0,1912,1,X,04,2021
1,0101,20,5,1220,6062,0,118,2,X,04,2021
1,0101,21,5,1220,51622,0,1067,1,X,04,2021
1,0101,25,5,1220,8413,0,164,1,X,04,2021
1,0101,25,5,1220,10094,0,197,2,X,04,2021
1,0101,25,6,1220,16386,0,321,1,X,04,2021
1,0101,27,5,1220,14486,0,252,2,X,04,2021
1,0101,29,5,1220,62810,0,1231,2,X,04,2021
1,0101,30,5,1220,91906,0,1751,2,X,04,2021
1,0101,32,5,1220,12542,0,247,1,X,04,2021
1,0101,34,5,1220,34911,0,773,2,X,04,2021
1,0101,35,5,1220,10324,0,271,1,X,04,2021
1,0101,39,5,1220,472403,0,8921,1,X,04,2021
1,0101,39,5,1220,90494,0,1742,2,X,04,2021
1,0101,39,6,1220,114858,0,2252,1,X,04,2021
1,0101,40,5,1220,22344,0,437,1,X,04,2021
1,0101,42,5,1220,16632,0,117,1,X,04,2021
1,0101,48,5,1220,49672,0,867,1,X,04,2021
1,0101,48,5,1220,3278,0,64,2,X,04,2021
1,0101,57,5,1220,47311,0,927,2,X,04,2021
1,0101,63,5,1220,35594,0,387,1,X,04,2021
1,0101,63,5,1220,19063,0,208,2,X,04,2021
1,0101,70,5,1220,55681,0,1091,1,X,04,2021
1,0101,72,5,1220,143981,0,2822,1,X,04,2021
1,0101,72,5,1220,22550,0,441,2,X,04,2021
1,0101,72,6,1220,131954,0,4180,1,X,04,2021
1,0101,73,5,1220,7621,0,88,1,X,04,2021
1,0101,73,5,1220,9555,0,112,2,X,04,2021
1,0101,73,6,1220,26986,0,1259,1,X,04,2021
1,0101,76,5,1220,11269,0,223,1,X,04,2021
1,0101,76,5,1220,8914,0,53,2,X,04,2021
1,0101,82,5,1220,4764,0,93,1,X,04,2021
1,0101,82,5,1220,2856,0,55,2,X,04,2021
1,0101,83,5,1220,6158,0,120,2,X,04,2021
1,0101,84,5,1220,210999,0,3762,1,X,04,2021
1,0101,84,5,1220,31325,0,664,2,X,04,2021
1,0101,85,5,1220,140003,0,2745,1,X,04,2021
1,0101,87,5,1220,439266,0,4747,1,X,04,2021
1,0101,89,5,1220,44733,0,511,1,X,04,2021
1,0101,90,5,1220,5189,0,104,1,X,04,2021
1,0101,90,5,1220,92577,0,504,2,X,04,2021
1,0101,91,5,1220,5485,0,0,2,X,04,2021
1,0101,94,5,1220,15705,0,317,1,X,04,2021
1,0101,94,5,1220,23481,0,262,2,X,04,2021
1,0101,95,5,1220,51122,0,1002,2,X,04,2021
1,0101,96,5,1220,6463,0,120,2,X,04,2021
1,0102,72,6,1220,181005,0,3040,1,X,04,2021
1,0102,98,8,1220,257960,0,320,1,X,04,2021
1,0103,56,5,1220,3100,0,80,1,X,04,2021
1,0103,73,5,1220,15284,0,619,1,X,04,2021
1,0103,94,5,1220,19512,0,207,2,X,04,2021
1,0104,05,5,1220,8390,0,244,1,X,04,2021
1,0104,17,5,1220,1102601,0,50077,1,X,04,2021
1,0104,25,5,1220,91414,0,7070,1,X,04,2021
1,0104,31,5,1220,78557,0,4431,1,X,04,2021
1,0104,32,5,1220,3253,0,114,2,X,04,2021
1,0104,38,5,1220,256245,0,6250,1,X,04,2021
1,0104,39,5,1220,66413,0,3200,1,X,04,2021
1,0104,39,5,1220,24662,0,797,2,X,04,2021
1,0104,40,5,1220,4792,0,257,1,X,04,2021
1,0104,44,5,1220,5204086,0,119863,1,X,04,2021
1,0104,44,5,1220,5898,0,116,2,X,04,2021
1,0104,44,6,1220,94735,0,7202,1,X,04,2021
1,0104,47,5,1220,1580856,0,137036,1,X,04,2021
1,0104,47,6,1220,1391347,0,28431,1,X,04,2021
