TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,19,5,1220,8326,0,163,2,X,12,2022
1,0101,39,5,1220,6254,0,786,1,X,12,2022
1,0101,72,5,1220,48370,0,368,1,X,12,2022
1,0101,72,6,1220,209855,0,8789,1,X,12,2022
1,0101,73,6,1220,24488,0,699,1,X,12,2022
1,0101,84,5,1220,13106,0,239,1,X,12,2022
1,0101,84,5,1220,55611,0,1121,2,X,12,2022
1,0101,85,5,1220,14810,0,129,1,X,12,2022
1,0101,85,5,1220,14058,0,110,2,X,12,2022
1,0101,90,5,1220,2754,0,132,1,X,12,2022
1,0102,72,6,1220,127989,0,2058,1,X,12,2022
1,0103,05,5,1220,26272,0,894,1,X,12,2022
1,0103,44,5,1220,2610,0,2,1,X,12,2022
1,0103,73,5,1220,3406,0,138,1,X,12,2022
1,0103,84,5,1220,3991,0,323,1,X,12,2022
1,0103,84,5,1220,70113,0,700,2,X,12,2022
1,0104,01,5,1220,117883,0,2226,1,X,12,2022
1,0104,10,6,1220,70662,0,1384,1,X,12,2022
1,0104,17,5,1220,116193,0,257,1,X,12,2022
1,0104,19,5,1220,115107,0,9113,1,X,12,2022
1,0104,31,5,1220,49607,0,5953,1,X,12,2022
1,0104,32,5,1220,4436,0,86,1,X,12,2022
1,0104,38,5,1220,76421,0,2670,1,X,12,2022
1,0104,39,5,1220,165379,0,3076,1,X,12,2022
1,0104,44,5,1220,7867999,0,249395,1,X,12,2022
1,0104,44,5,1220,6545,0,827,2,X,12,2022
1,0104,47,5,1220,1227775,0,99550,1,X,12,2022
1,0104,48,5,1220,8263441,0,650515,1,X,12,2022
1,0104,48,5,1220,45885,0,4997,2,X,12,2022
1,0104,48,6,1220,261807,0,1385,1,X,12,2022
1,0104,49,5,1220,56410,0,1642,1,X,12,2022
1,0104,54,5,1220,714620,0,6150,1,X,12,2022
1,0104,55,5,1220,489280,0,4614,1,X,12,2022
1,0104,56,5,1220,53460,0,585,1,X,12,2022
1,0104,63,5,1220,11550,0,40,1,X,12,2022
1,0104,68,5,1220,412676,0,19629,1,X,12,2022
1,0104,69,5,1220,15987,0,465,1,X,12,2022
1,0104,70,5,1220,2860,0,66,2,X,12,2022
1,0104,73,5,1220,14032,0,332,1,X,12,2022
1,0104,74,5,1220,2636,0,58,1,X,12,2022
1,0104,76,5,1220,30457,0,3840,1,X,12,2022
1,0104,82,5,1220,8263,0,161,1,X,12,2022
1,0104,84,5,1220,571687,0,9219,1,X,12,2022
1,0104,84,5,1220,2061525,0,56326,2,X,12,2022
1,0104,85,5,1220,28984,0,518,1,X,12,2022
1,0104,85,5,1220,84547,0,2372,2,X,12,2022
1,0104,87,5,1220,1205359,0,31167,1,X,12,2022
1,0104,89,5,1220,119517,0,1763,1,X,12,2022
1,0104,90,5,1220,202770,0,1425,1,X,12,2022
1,0104,95,5,1220,19114,0,556,2,X,12,2022
1,0104,97,5,1220,7847,0,171,1,X,12,2022
1,0105,23,6,1220,44444,0,2114,1,X,12,2022
1,0105,25,6,1220,168225,0,5145,1,X,12,2022
1,0105,25,6,1220,1208095,0,113239,2,X,12,2022
1,0105,27,6,1220,148265,0,3312,1,X,12,2022
1,0105,29,5,1220,432561,0,4282,1,X,12,2022
1,0105,44,6,1220,1210571,0,153005,1,X,12,2022
1,0105,54,5,1220,18271,0,743,1,X,12,2022
1,0105,73,6,1220,273829,0,146,1,X,12,2022
1,0105,73,6,1220,129570,0,3312,2,X,12,2022
1,0105,95,5,1220,18243,0,1823,1,X,12,2022
1,0106,03,5,1220,2391878,0,47220,1,X,12,2022
1,0106,03,5,1220,1832007,0,26188,2,X,12,2022
1,0106,04,5,1220,51652,0,125,1,X,12,2022
1,0106,06,5,1220,46971,0,246,1,X,12,2022
1,0106,06,5,1220,457343,0,4286,2,X,12,2022
1,0106,07,5,1220,265539,0,14613,1,X,12,2022
1,0106,07,5,1220,11452,0,440,2,X,12,2022
1,0106,08,5,1220,13893,0,489,1,X,12,2022
1,0106,08,5,1220,1348381,0,26392,2,X,12,2022
1,0106,09,5,1220,73338,0,1174,1,X,12,2022
1,0106,09,5,1220,51636,0,3404,2,X,12,2022
1,0106,10,5,1220,5141,0,0,1,X,12,2022
1,0106,11,5,1220,34533,0,2360,1,X,12,2022
1,0106,12,5,1220,186891,0,11691,1,X,12,2022
1,0106,12,5,1220,56599,0,50,2,X,12,2022
1,0106,15,5,1220,168183,0,10787,1,X,12,2022
1,0106,15,5,1220,29999,0,30,2,X,12,2022
1,0106,16,5,1220,155391,0,8182,1,X,12,2022
1,0106,17,5,1220,2906,0,198,2,X,12,2022
1,0106,18,5,1220,4292,0,494,1,X,12,2022
1,0106,18,5,1220,5359,0,617,2,X,12,2022
1,0106,19,5,1220,1801280,0,171693,1,X,12,2022
1,0106,20,5,1220,357331,0,35249,1,X,12,2022
1,0106,20,5,1220,120203,0,218,2,X,12,2022
1,0106,21,5,1220,171000,0,10030,1,X,12,2022
1,0106,21,5,1220,68223,0,6352,2,X,12,2022
1,0106,22,5,1220,257357,0,12320,1,X,12,2022
1,0106,22,5,1220,78633,0,1647,2,X,12,2022
1,0106,25,5,1220,176423,0,5607,1,X,12,2022
1,0106,25,5,1220,11306,0,1068,2,X,12,2022
1,0106,27,5,1220,1462737,0,41987,1,X,12,2022
1,0106,28,5,1220,772191,0,31956,1,X,12,2022
1,0106,29,5,1220,87964,0,3220,1,X,12,2022
1,0106,29,5,1220,6294,0,369,2,X,12,2022
1,0106,31,5,1220,197472,0,19906,1,X,12,2022
1,0106,32,5,1220,607145,0,15002,1,X,12,2022
1,0106,32,5,1220,126037,0,2412,2,X,12,2022
1,0106,33,5,1220,522073,0,519,1,X,12,2022
1,0106,33,5,1220,155684,0,152,2,X,12,2022
1,0106,34,5,1220,446097,0,12599,1,X,12,2022
1,0106,34,6,1220,144429,0,1840,1,X,12,2022
1,0106,35,5,1220,118972,0,4222,1,X,12,2022
1,0106,38,5,1220,501490,0,11596,1,X,12,2022
1,0106,38,5,1220,121682,0,3430,2,X,12,2022
1,0106,39,5,1220,4636815,0,132042,1,X,12,2022
1,0106,39,5,1220,622248,0,16612,2,X,12,2022
1,0106,40,5,1220,6771563,0,339498,1,X,12,2022
1,0106,40,5,1220,295161,0,21298,2,X,12,2022
1,0106,42,5,1220,2847,0,13,1,X,12,2022
1,0106,44,5,1220,1639874,0,76049,1,X,12,2022
1,0106,44,5,1220,120777,0,5991,2,X,12,2022
1,0106,47,5,1220,480576,0,29660,1,X,12,2022
1,0106,47,5,1220,38335,0,146,2,X,12,2022
1,0106,48,5,1220,2157588,0,59183,1,X,12,2022
1,0106,48,5,1220,972253,0,2697,2,X,12,2022
1,0106,49,5,1220,8121,0,158,1,X,12,2022
1,0106,54,5,1220,255956,0,73,1,X,12,2022
1,0106,55,5,1220,288188,0,365,1,X,12,2022
1,0106,56,5,1220,1014332,0,3794,1,X,12,2022
1,0106,56,5,1220,4472,0,12,2,X,12,2022
1,0106,57,5,1220,146247,0,5387,1,X,12,2022
1,0106,58,5,1220,58766,0,125,1,X,12,2022
1,0106,58,5,1220,7500,0,331,2,X,12,2022
1,0106,59,5,1220,606770,0,22378,1,X,12,2022
1,0106,59,5,1220,3905,0,215,2,X,12,2022
1,0106,62,5,1220,27046,0,2374,1,X,12,2022
1,0106,62,5,1220,15629,0,367,2,X,12,2022
1,0106,63,5,1220,136270,0,1672,1,X,12,2022
1,0106,63,5,1220,54113,0,5190,2,X,12,2022
1,0106,65,5,1220,7663,0,6,1,X,12,2022
1,0106,68,5,1220,711289,0,20972,1,X,12,2022
1,0106,69,5,1220,40752,0,3161,2,X,12,2022
1,0106,70,5,1220,889598,0,30766,1,X,12,2022
1,0106,71,5,1220,26774,0,264,1,X,12,2022
1,0106,71,5,1220,23968,0,237,2,X,12,2022
1,0106,72,5,1220,392381,0,23604,1,X,12,2022
1,0106,72,5,1220,1062854,0,11070,2,X,12,2022
1,0106,72,6,1220,253680,0,7358,1,X,12,2022
1,0106,73,5,1220,5729380,0,316036,1,X,12,2022
1,0106,73,5,1220,462631,0,27918,2,X,12,2022
1,0106,74,5,1220,104039,0,1023,1,X,12,2022
1,0106,75,5,1220,5212243,0,51436,1,X,12,2022
1,0106,76,5,1220,996283,0,54295,1,X,12,2022
1,0106,76,5,1220,116591,0,2554,2,X,12,2022
1,0106,82,5,1220,13814,0,270,1,X,12,2022
1,0106,83,5,1220,446360,0,10572,1,X,12,2022
1,0106,83,5,1220,25327,0,41,2,X,12,2022
1,0106,84,5,1220,6669856,0,133778,1,X,12,2022
1,0106,84,5,1220,5914525,0,90614,2,X,12,2022
1,0106,85,5,1220,964233,0,17325,1,X,12,2022
1,0106,85,5,1220,149842,0,2032,2,X,12,2022
1,0106,86,5,1220,58677,0,2170,1,X,12,2022
1,0106,87,5,1220,6255492,0,111316,1,X,12,2022
1,0106,87,5,1220,4475235,0,79212,2,X,12,2022
1,0106,89,5,1220,840932,0,12304,1,X,12,2022
1,0106,90,5,1220,122851,0,1457,1,X,12,2022
1,0106,90,5,1220,247114,0,2944,2,X,12,2022
1,0106,94,5,1220,957987,0,18958,1,X,12,2022
1,0106,94,5,1220,67661,0,1600,2,X,12,2022
1,0106,95,5,1220,180503,0,3539,1,X,12,2022
1,0106,95,5,1220,3854,0,223,2,X,12,2022
1,0106,96,5,1220,475148,0,19334,1,X,12,2022
1,0106,98,5,1220,43266,0,428,1,X,12,2022
1,0106,98,5,1220,3829,0,3,2,X,12,2022
1,0107,11,5,1220,53408,0,8298,1,X,12,2022
1,0107,19,5,1220,44117,0,436,1,X,12,2022
