TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,17,5,1220,5881,0,135,2,X,10,2022
1,0101,19,5,1220,9415,0,165,2,X,10,2022
1,0101,72,6,1220,100896,0,3720,1,X,10,2022
1,0101,73,5,1220,9075,0,439,1,X,10,2022
1,0101,73,6,1220,14448,0,569,1,X,10,2022
1,0101,82,8,1220,5697,0,29,1,X,10,2022
1,0101,84,5,1220,11767,0,552,1,X,10,2022
1,0101,84,5,1220,6964,0,759,2,X,10,2022
1,0101,85,8,1220,6202,0,23,1,X,10,2022
1,0101,90,5,1220,5238,0,106,2,X,10,2022
1,0101,94,5,1220,5297,0,245,1,X,10,2022
1,0102,85,5,1220,2966,0,58,2,X,10,2022
1,0102,88,5,1220,6606,0,129,1,X,10,2022
1,0103,05,5,1220,20872,0,385,1,X,10,2022
1,0103,73,5,1220,60245,0,2442,1,X,10,2022
1,0104,01,5,1220,161633,0,3091,1,X,10,2022
1,0104,17,5,1220,4612,0,229,1,X,10,2022
1,0104,19,5,1220,193638,0,15670,1,X,10,2022
1,0104,25,5,1220,18286,0,357,1,X,10,2022
1,0104,31,5,1220,60280,0,7043,1,X,10,2022
1,0104,32,5,1220,8223,0,229,1,X,10,2022
1,0104,38,5,1220,41301,0,1460,1,X,10,2022
1,0104,39,5,1220,77992,0,2261,1,X,10,2022
1,0104,39,5,1220,29313,0,999,2,X,10,2022
1,0104,40,5,1220,10063,0,218,1,X,10,2022
1,0104,44,5,1220,7331211,0,208711,1,X,10,2022
1,0104,44,6,1220,68637,0,6576,1,X,10,2022
1,0104,47,5,1220,1877547,0,151476,1,X,10,2022
1,0104,48,5,1220,9470362,0,740722,1,X,10,2022
1,0104,48,5,1220,47513,0,3287,2,X,10,2022
1,0104,48,6,1220,374541,0,6282,1,X,10,2022
1,0104,49,5,1220,19025,0,554,1,X,10,2022
1,0104,54,5,1220,565165,0,5534,1,X,10,2022
1,0104,54,5,1220,3716,0,36,2,X,10,2022
1,0104,55,5,1220,547922,0,5790,1,X,10,2022
1,0104,56,5,1220,75064,0,949,1,X,10,2022
1,0104,56,5,1220,6589,0,77,2,X,10,2022
1,0104,59,5,1220,11043,0,252,1,X,10,2022
1,0104,68,5,1220,594020,0,28227,1,X,10,2022
1,0104,69,5,1220,15939,0,462,1,X,10,2022
